date,exch,cc_code,underly_code,type_code,prod_name,fut_date,opt_date,opt_strike,valuation_meth,max_array_value,contr_value_fact,sett_p,sett_meth,time_to_expr,margin_rate,base_volat,volat_scan_range,price_model
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,4355,1000,5.26,CASH ,0.013699,0.8279468,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,40.5,EQTY ,50,1000,0.05,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,4144,1000,4.77,CASH ,0.013699,0.8687631,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,41,EQTY ,60,1000,0.06,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,3863,1000,4.28,CASH ,0.013699,0.9025701,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,41.5,EQTY ,70,1000,0.07,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,3508,1000,3.8,CASH ,0.013699,0.9231579,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,42,EQTY ,90,1000,0.09,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,3103,1000,3.33,CASH ,0.013699,0.9318318,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,42.5,EQTY ,120,1000,0.12,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,2670,1000,2.87,CASH ,0.013699,0.9303136,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,43,EQTY ,160,1000,0.16,CASH ,0.013699,1,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,2218,1000,2.41,CASH ,0.013699,0.920332,0.323058,42,B
2020-12-09,NYM,C14,CL,OOF,C14 SHORT TERM ,2021-01-01,2020-12-01,43.5,EQTY ,200,1000,0.2,CASH ,0.013699,1,0.323058,42,B
